Serial Number,Date of entry,Gender,Languages Spoken,Class,Year of Entry,Language with Parents,Language with Siblings,Language with Friends,Language in School,First English at ,Comprehension 1,Comprehension 2,Comprehension 3,Comprehension 4,Comprehension 5,
999,23/03/2023,F,"English, Tiv ",3,2020,Tiv,Tiv,English,English,At home,1,1,1,1,1,
1000,24/03/2023,M,"English, Gbagyi ",3,2020,Gbagyi,Gbagyi,English,English,Primary School,1,1,1,1,1,
1001,30/03/2023,F,"English, Yoruba",4,2019,"English, Yoruba",English,"English, Yoruba","English, Yoruba",Play group,1,1,0,1,1,
1001,23/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1002,23/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1003,23/03/2023,F,"English, Tiv",4,2019,Tiv,Tiv,English,English,Play group,1,1,1,1,1,
1004,23/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1005,23/03/2023,M,"English, Jaba",3,2020,Jaba,Jaba,English,English,Play group,1,1,1,1,1,
1006,23/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1007,23/03/2023,M,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1008,23/03/2023,F,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1009,23/03/2023,F,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1010,23/03/2023,M,"English, Gbagyi",4,2019,Gbagyi,Gbagyi,English,English,Play group,1,1,1,1,1,
1011,23/03/2023,M,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
1012,23/03/2023,F,"English, Hausa",3,2020,"English, Hausa","English, Hausa",English,English,At home,1,1,1,1,1,
1013,23/03/2023,M,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
1014,23/03/2023,M,"English, Madar",3,2020,"English, Madar","English, Madar",English,English,Play group,1,1,1,1,1,
1015,23/03/2023,F,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,English,English,Play group,1,1,0,1,1,
1016,23/03/2023,M,"English, Pidgin English, Tiv",5,2018,"English, Pidgin English, Tiv","English,Hausa, Tiv",English,English,At home,1,1,1,1,1,
1017,23/03/2023,F,"English, Gbagyi",6,2017,Gbagyi,Gbagyi,English,English,At home,1,1,0,1,1,
1018,23/03/2023,F,"English, Gbagyi",6,2017,Gbagyi,Gbagyi,English,English,At home,1,1,0,1,1,
1019,23/03/2023,F,"English, Igbo",4,2019,English,English,English,English,At home,1,1,1,1,1,
1020,23/03/2023,F,"English, Igbo",4,2019,English,English,English,English,At home,1,1,1,1,1,
1021,23/03/2023,M,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,At home,1,1,0,1,1,
1022,23/03/2023,M,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,At home,1,1,1,1,1,
1024,23/03/2023,F,"English, Tiv ",3,2020,Tiv,Tiv,English,English,Pre-primary,1,1,1,1,1,
1025,23/03/2023,F,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,At home,1,1,1,1,1,
1026,24/03/2023,M,"English, Gbagyi ",3,2020,Gbagyi,Gbagyi,English,English,Primary School,1,1,1,1,1,
1027,24/03/2023,M,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,"English, Ggbagyi",English,Primary School,1,1,1,1,1,
1028,24/03/2023,F,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,"English, Ggbagyi",English,Primary School,1,1,1,1,1,
1029,24/03/2023,M,"English, Hausa, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,At home,1,1,1,1,1,
1030,24/03/2023,F,"English, Gbagyi",5,2018,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
1031,24/03/2023,F,English ,3,2020,"English, Hausa","English, Hausa",English,English,At home,1,1,1,1,1,
1032,24/03/2023,M,"English, Tiv",5,2018,Tiv,Tiv,English,English,Primary School,1,1,1,1,1,
1033,24/03/2023,F,"Englisha, Igbira",6,2017,Igbira,Igbira,English,English,Pre-primary,1,1,1,1,1,
1800,29/03/2023,M,"English, Gbagyi",6,2017,Tiv,Tiv,English,English,At home,1,1,0,1,1,
0201,26-01-2023,F,Mada,5,2016,"English, Pidgin English","English,Pidgin English, Hausa",English,English,Playgroup,1,1,0,1,1,
0202,26-01-2023,F,Igbo,4,2016,"English, Pidgin English",English,English,English,Playgroup,1,1,0,1,1,
0203,26-01-2023,F,Gbagyi,5,2020,"English, Pidgin English","English, Pidgin English",English,English,Playgroup,1,1,1,,1,
0204,26-01-2023,F,Hausa,5,2016,"English, Hausa","English, Hausa","English, Hausa",English,Playgroup,1,1,1,1,1,
0205,26-01-2023,F,Igbo,4,2018,"English, Hausa",English,English,English,Primary School,0,1,1,1,1,
0206,26-01-2023,F,Igala,4,2016,"English, Pidgin English",English,Pidgin English,English,Pre-primary,1,1,0,0,1,
0207,26-01-2023,M,Tiv,4,2016,English,English,English,English,Primary School,1,1,0,0,1,
0208,26-01-2023,M,Fulfulde,5,2016,"English,Pidgin English, Hausa",Hausa,Hausa,English,Playgroup,1,1,1,0,1,
0209,26-01-2023,M,Gbagyi,4,2016,"English, Pidgin English",Pidgin English,English,English,Primary School,1,1,1,0,1,
0210,26-01-2023,F,Kwol,4,2017,"English,Pidgin English, Hausa",Englissh,English,English,Playgroup,1,1,0,0,1,
0211,26-01-2023,M,Gbagyi,4,2016,English,Hausa,Pidgin English,English,Primary School,1,1,1,0,,
0212,26-01-2023,M,Gbagyi,3,2016,"Pidgin English, Gbagyi",English,Hausa,English,Primary School,0,1,0,0,1,
0213,26-01-2023,F,Fulfulde,5,2016,"English, Hausa","English, Hausa",Hausa,English,Primary School,1,1,1,1,1,
0214,26-01-2023,F,Hausa,5,2016,"English, Hausa",English,English,English,Pre-primary,1,1,1,0,1,
0215,26-01-2023,F,English,4,2016,"English,Pidgin English, Hausa",English,English,English,Playgroup,1,1,1,1,1,
0216,26-01-2023,F,"English, Kaduna",5,2016,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
0218,26-01-2023,F,Edo,4,2016,"English, Pidgin English",English,English,English,Primary School,1,1,1,1,1,
0219,26-01-2023,M,Fulfulde,5,2016,"English,Pidgin English, Hausa",Hausa,English,English,Primary School,1,1,1,0,1,
0220,26-01-2023,F,Fulfulde,4,2017,"English,Pidgin English, Hausa",Hausa,English,English,Playgroup,1,1,1,0,1,
0221,26-01-2023,M,Gbagyi,5,2020,"English,Pidgin English, Hausa","English, Pidgin English","English, Pidgin English",English,Playgroup,1,1,0,1,1,
0222,26-01-2023,M,Mada,5,2018,"English,Pidgin English, Hausa",English,Pidgin English,English,Playgroup,1,1,1,0,1,
0223,26-01-2023,M,Gbagyi,5,2016,"English,Pidgin English, Hausa","English, Pidgin English",Pidgin English,English,Playgroup,1,1,0,1,1,
0224,26-01-2023,F,Hausa,3,2020,"English,Pidgin English, Hausa",Hausa,Pidgin English,English,Playgroup,0,1,0,1,0,
0225,26-01-2023,M,Bajju,3,2020,English,"English,Pidgin English, Hausa",English,English,Playgroup,1,0,1,0,1,
0226,26-10-2023,F,Gbagyi,3,2019,"English,Gbagyi,Pidgin, Hausa",,,English,Playgroup,0,1,0,1,0,
0226,26-01-2023,F,Igbo,3,2020,Enlish,English,English,English,Playgroup,1,1,0,1,1,
0227,26-10-2023,M,"Gbagyi, Mada",3,2016,"English,Pidgin English, Hausa","English,Pidgin English, Hausa",Pidgin English,English,Playgroup,0,0,1,1,1,
0229,26-001-2023,M,Fulfulde,3,2020,Hausa,Hausa,Hausa,English,Playgroup,0,1,1,0,0,
0230,26-01-2023,F,Bassa,3,2020,"English, Pidgin, Hausa","Pidgin English, Hausa",Pidgin English,English,Playgroup,1,1,0,0,0,
0231,26-01-2023,M,Gbagyi,3,2020,"English, Pidgin English",Gbagyi,Enlish.,English,Playgroup,0,1,0,1,1,
0232,26-01-2023,M,Ebira,3,2020,"English,Pidgin English, Hausa",English,English,English,Playgroup,0,1,0,0,0,
0235,26-01-2023,M,Hausa,3,2020,"English,Pidgin English, Hausa",Hausa,Hausa,English,Playgroup,0,1,0,0,1,
0236,26-01-2023,M,Angas,3,2020,"English,Pidgin English, Hausa",English,Hausa,English,Playgroup,0,1,0,1,0,
0237,26-01-2023,M,Fulfulde,3,2018,"English,Pidgin English, Hausa",Hausa,Hausa,English,Playgroup,0,1,1,0,1,
0238,26-01-2023,F,Gbagyi,3,2020,"English,Pidgin English, Hausa",English,English,English,Playgroup,0,1,0,1,0,
0239,26-01-2023,F,Tiv,3,2020,English,English,English,English,Playgroup,1,1,0,1,1,
0240,26-01-2023,F,Bassa,3,2020,"English,Pidgin English, Hausa",Pidgin English,Pidgin English,English,Playgroup,0,1,0,0,0,
0241,26-01-2023,F,Gbagyi,3,2020,"English,Hausa,Pidgin English",Gbagyi,Emnglish,English,Playgroup,0,0,0,0,0,
0242,26-01-2023,F,Gbagyi,3,2020,"English,Pidgin English, Hausa",Gbagyi,English,English,Playgroup,0,1,0,0,1,
0243,26-01-2023,F,Fulfulde,6,2016,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
0244,26-01-2023,M,Hausa,6,2018,Hausa,"English,Pidgin English, Hausa",Hausa,English,Playgroup,1,1,1,0,1,
0245,26-01-2023,F,Gbagyi,6,2016,"English,Pidgin English, Hausa","English, Pidgin English","English,Pidgin English, Hausa",English,Pre-primary,1,1,1,,1,
0246,26-01-2023,M,Mada,6,2017,"English,Pidgin English, Hausa",English,Pidgin English,English,Playgroup,1,1,1,0,1,
0248,26-01-2023,F,Igbo,6,2017,"English,Pidgin English, Hausa",English,English,English,Playgroup,1,1,0,1,1,
0249,26-01-2023,F,Igbo,6,2016,"English, Hausa","English, Hausa","English, Hausa",English,Primary School,1,1,1,1,1,
0250,26-01-2023,M,English,6,2016,English,English,English,English,At home,1,1,0,0,1,
0251,26-01-2023,M,English,6,2016,English,English,English,English,Pre-primary,1,1,0,0,1,
0252,26-01-2023,M,English,6,2017,English,English,English,English,At home,1,1,0,0,1,
0253,26-01-2023,M,Gbagyi,5,2016,"English, Hausa",English,English,English,Primary School,0,1,0,0,1,
0254,26-01-2023,F,Igbo,6,2016,"English, Hausa","English, Hausa","English,Pidgin English, Hausa",English,Primary School,1,1,0,0,1,
0255,26-01-2023,F,Fulfulde,6,2016,"English, Hausa",English,"Pidgin, Hausa",English,Primary School,1,1,1,0,1,
0256,26-01-2023,F,Angas,3,2020,"English, Hausa",English,English,English,Playgroup,0,1,0,0,0,
0257,26-01-2023,M,Bassa,3,2020,"English,Pidgin English, Hausa",English,English,English,Playgroup,0,0,0,0,1,
0258,26-01-2023,F,Ahoe,3,2020,"English,Pidgin English, Hausa",English,English,English,Playgroup,0,0,0,0,1,
0259,26-01-2023,F,Fulfulde,6,2016,"English, Hausa","English, Hausa",English,English,Pre-primary,1,1,1,0,1,
0260,26-01-2023,F,Fulfulde,6,2016,"English, Hausa","English, Hausa",Hausa,English,Primary School,1,1,1,1,,
0261,26-01-2023,F,Bajju,4,2019,English,English,English,English,Pre-primary,1,1,0,1,1,
0262,26-01-2023,F,Igala,4,2014,"English, Igala","English, Igala","English, Igala",English,Pre-primary,1,1,0,1,1,
0263,26-01-2023,M,Jaba,,2019,"Jaba, English","Jaba, English",English,English,Pre-primary,1,1,0,0,1,
0264,26-01-2023,F,Hausa,4,2016,Hausa,Hausa,English,English,At home,1,1,0,1,1,
0265,26-01-2023,M,"Igbo, English",4,2016,Ennglish,English,English,English,Primary School,1,1,1,0,1,
0267,26-01-2023,M,English,4,,English,English,English,English,Pre-primary,1,1,1,1,1,
0268,26-01-2023,F,"Igbo, English",4,2019,"English, Igbo","English, Igbo","English, Igbo",English,Pre-primary,1,1,0,1,1,
0269,26-01-2023,F,"English, Gbagyi",4,2019,"English, Gbagyi","English, Gbagyi",English,English,Pre-primary,1,1,0,1,1,
0270,26-01-2023,M,"Gbagyi, English",4,2016,"English, Gbagyi","English, Gbagyi","English, Gbagyi",English,Pre-primary,1,1,0,0,1,
0270,26-01-2023,M,English,5,2016,English,English,English,English,Pre-primary,1,1,1,1,1,
0271,26-01-2023,F,"Yoruba, English",5,2016,Yoruba,English,English,English,Playgroup,1,0,1,0,1,
0272,26-01-2023,M,"English, Idoma",5,2020,English,English,English,English,Pre-primary,1,1,1,1,1,
0273,26-01-2023,M,English,5,2020,English,English,English,English,Playgroup,1,1,1,1,1,
0274,26-01-2023,F,"English, Hausa",5,2019,"Engliish, Hausa","English, Hausa","English, Hausa",English,Playgroup,1,1,0,1,1,
0275,26-01-2023,M,"Yoruba, English",5,2019,Yoruba,English,English,English,At home,1,1,1,1,1,
0276,26-01-2023,M,English,5,2020,English,English,English,English,Playgroup,1,1,1,1,1,
0277,26-01-2023,F,"Gbagyi, English",5,2018,Gbagyi,English,Gbagyi,English,Pre-primary,1,1,1,1,1,
0278,26-01-2023,F,English,5,2018,English,English,English,English,At home,1,1,1,1,1,
0279,26-01-2023,F,"English, Hausa",5,2020,Hausa,English,English,English,Playgroup,1,1,1,1,1,
0281,26-01-2023,F,"Yoruba, English",5,2019,Yoruba ansd English,"Yoruba, English","Hausa, English",English,Playgroup,1,1,1,1,1,
0286,2023-07-02,F,"Yoruba, English",1/3/1900,2020,"English, Yoruba",English,English,English,At home,1,1,1,1,1,
0288,2023-07-02,F,Idoma,3,2020,English,English,English,English,At home,1,1,0,1,1,
0289,2023-07-02,F,Yoruba,1/3/1900,2020,English,English,English,English,At home,1,1,1,1,1,
0290,2023-07-02,M,"English, Igbo",3,2020,Igbo,Igbo,English,English,At home,1,1,1,1,1,
0291,2023-07-02,F,Gbagy,3,2020,"Pidgin English, Gbagyi","Pidgin English, Gbagyi",English,English,At home,1,1,1,1,1,
0292,2023-07-02,F,"Yoruba, English",3,2020,"Eng;ish,Hausa, Yoruba",English,English,English,At home,1,1,1,1,1,
0293,2023-07-02,F,"English, Igbo",3,2020,"English, Ibo","English, Ibo",English,English,Playgroup,1,1,1,1,1,
0294,2023-07-02,F,"English, Ron",3,2020,English,English,English,English,At home,1,1,1,0,1,
0295,2023-07-02,F,"Yoruba, English",3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,0,0,1,
0296,2023-07-02,M,Yoruba,3,2020,"English, Yoruba","English, Yoruba",English,English,Playgroup,1,1,1,1,1,
0297,2023-07-02,M,Yoruba,3,2020,English,English,English,English,At home,1,1,1,0,1,
0299,2023-07-02,,"English, Hausa",3,2020,"English, Hausa",English,English,English,Primary School,1,1,0,0,1,
0300,2023-07-02,F,"English, Edo",3,2020,"English, Esan(Edo)","English, Esan(Edo)",English,English,Primary School,1,1,0,1,1,
0641,2023-09-02,F,Idoma,4,2019,Idoma,Idoma,English,English,Playgroup,1,1,1,1,1,
0642,2023-09-02,M,Jaba,3,2020,English,English,English,English,Primary School,1,1,1,1,1,
0643,2023-09-02,M,Tiv,3,2020,English,Pidgin English,English,English,At home,0,1,1,1,1,
0644,2023-09-02,F,Boju,3,2020,English,English,English,English,Pre-primary,1,1,1,1,1,
0645,2023-09-02,F,Gbagyi,3,2020,English,English,English,English,Pre-primary,1,0,1,1,1,
0646,2023-09-02,M,Bura,3,2020,English,English,English,English,Pre-primary,1,0,1,1,1,
0647,2023-09-02,F,Idoma,3,2020,English,English,English,English,Pre-primary,1,1,1,1,1,
0648,2023-09-02,F,Gbagyi,3,2020,Gbagyi,Gbagyi,Pidgin English,English,At home,1,1,1,1,1,
0649,2023-09-02,M,Gbagyi,3,2020,English,English,English,English,Playgroup,1,1,1,1,1,
0650,2023-09-02,M,Hausa,6,2018,Hausa,Hausa,Hausa,English,At home,1,1,1,1,1,
0651,2023-09-02,M,Tiv,6,2018,"English,Pidgin english, Tiv","Pidgin English, Tiv",English,English,At home,1,1,1,1,1,
0652,2023-09-02,M,Tiv,3,2020,English,English,English,English,Primary School,1,1,1,1,1,
0653,2023-09-02,F,Gbagyi,3,2020,Gbagyi,Gbagyi,Pidgin English ,English,At home,1,1,1,1,1,
0654,2023-09-02,M,Gbagyi,3,2020,English,English,English,English,Pre-primary,1,1,1,1,1,
0655,2023-09-02,F,Gbagyi,4,2019,Gbagyi,Gbagyi,Gbagyi,English,At home,1,1,1,1,1,
0656,2023-09-02,M,Hausa,6,2018,"English,Pidgin English, Hausa","Pidgin English, Hausa","Pidgin English, Hausa",English,Primary School,1,1,1,1,1,
0657,2023-09-02,F,Bajju,5,2019,"English,Pidgin English, Bajju","English, Pidgin English","English, Pidgin English",English,At home,1,1,1,1,1,
0658,2023-09-02,M,Yoruba,6,2018,"English,Pidgin English, Yoruba","English, Yoruba","English, Pidgin English",English,At home,1,1,1,1,1,
0659,2023-09-02,F,Gbagyi,6,2018,"English, Gbagyi","English, Gbagyi","English, Gbagyi",English,At home,1,1,1,1,1,
0660,2023-09-02,F,Tiv,6,2018,"English, Tiv","English, Tiv",English,English,At home,1,1,1,1,1,
0661,2023-09-02,M,Tiv,3,2020,Tiv,Tiv,English,Hausa,At home,1,1,1,0,1,
0662,2023-09-02,F,Tiv,3,2020,"English, Tiv",English,English,English,At home,1,1,1,,0,
0663,2023-09-02,M,"Gbagyi, Yoruba",3,,Yoruba,English,English,English,At home,1,1,1,1,1,
0664,2023-09-02,F,Igala,3,2020,English,English,English,English,At home,1,1,1,0,1,
0665,2023-09-02,M,"English, Tiv",3,2020,Tiv,English,English,English,At home,1,1,1,0,0,
0666,2023-09-02,M,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,English,English,At home,1,1,1,1,1,
0667,2023-09-02,F,Tiv,3,2020,Tiv,Tiv,English,English,At home,1,1,1,0,1,
0669,2023-09-02,F,"English,Hausa, Yoruba",3,2020,"English, Hausa","English, Hausa","English, Hausa",English,At home,1,1,1,1,1,
0670,2023-09-02,F,Bura,5,2019,English,English,"English, Pidgin English",English,At home,1,1,1,1,1,
0671,2023-09-02,F,Ahoe,5,2019,"English, Ahoe",English,"English, Hausa",English,At home,1,1,1,1,1,
0672,2023-09-02,M,Tiv,6,2018,"English,Pidgin, Tiv","English,Pidgin, Tiv","English,Pidgin, Tiv",English,At home,1,1,1,1,1,
0674,2023-09-02,F,Bajju,5,2019,"English,Hausa, Bajju","English, Hausa","English, Hausa",English,At home,1,1,1,1,1,
0675,2023-09-02,M,"Yoruba, Igbo",6,2016,"English, Yoruba",English,English,English,Pre-primary,1,1,1,0,1,
0676,2023-09-02,M,"English, Igbo",4,2016,English,English,English,English,Playgroup,1,1,1,0,1,
0677,2023-09-02,F,"English, Igbo",4,2018,English,English,English,English,At home,0,1,1,1,1,
0678,2023-09-02,F,Tiv,4,2018,English,English,English,English,Playgroup,1,1,1,0,1,
0679,2023-09-02,M,Yoruba,5,2018,"English, Yoruba",English,English,English,Pre-primary,1,1,1,1,1,
0680,2023-09-02,M,Hausa,3,2020,English,English,English,English,At home,1,1,1,1,1,
0681,2023-09-02,M,"Yoruba, English",4,2020,English,English,English,English,Primary School,,0,1,0,1,
0682,2023-09-02,F,Hausa,4,2016,English,English,English,English,At home,1,1,1,1,1,
0701,26-01-2023,F,"English, Igala",2,2022,"English, Igala","English, Igala",English,English,At home,1,1,1,1,1,
0702,26-01-2023,M,"English, Igbo",2,2022,"English, Ibo","English, Pidgin English",English,English,Playgroup,1,1,1,1,1,
0703,26-01-2023,M,"English, Igbo",2,2022,"English, Ibo",English,English,English,At home,1,1,1,1,1,
