Serial Number,Date of entry,Gender,Languages Spoken,Class,Year of Entry,Language with Parents,Language with Siblings,Language with Friends,Language in School,First English at ,Comprehension 1,Comprehension 2,Comprehension 3,Comprehension 4,Comprehension 5,
0716,26-01-2023,M,Hausa,6,2018,Hausa,Hausa,Hausa,English,Pre-primary,1,1,1,1,1,
0717,26-01-2023,F,Igbo,6,2018,Ibo,ibo,Pidgin English,English,Pre-primary,1,1,1,1,1,
0718,26-01-2023,M,Igbo,6,2018,Ibo,ibo,English,English,Pre-primary,1,1,1,1,1,
0719,26-01-2023,M,Igbo,6,2018,Igbo,Igbo,English,English,Pre-primary,1,1,1,1,1,
0720,26-01-2023,M,Tiv,6,2018,TIV,Tiv,"English, Tiv",English,Pre-primary,1,1,1,1,1,
0721,26-01-2023,M,Tiv,6,2018,Tiv,Tiv,English,English,At home,1,1,1,1,1,
0722,26-01-2023,M,Igala,6,2018,Igala,Igala,English,English,At home,1,,1,1,1,
0723,26-01-2023,M,Awo,6,2018,Awo,Awo,English,English,At home,1,1,1,1,1,
0724,2023-07-02,F,Yoruba,3,2018,"English,Yoruba, Ibo","English,Yoruba,Ibo, Tiv","English, Tiv",English,Pre-primary,1,1,1,1,1,
0725,2023-07-02,F,"English, Ibibio(Akwa-Ibom",3,2020,"English, Ibibio(Akwa-Ibom)",English,English,English,Primary School,1,0,0,0,0,
0726,2023-07-02,M,Yoruba,3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,1,
0727,2023-07-02,F,Hausa,3,2020,Hausa,Hausa,English,English,Pre-primary,1,1,1,0,1,
0728,26-01-2023,M,"Yoruba, English",6,2016,English,English,English,English,Primary School,1,1,0,1,1,
0729,26-01-2023,F,Tiv,6,2018,English,English,English,English,Playgroup,1,1,1,0,1,
0730,26-01-2023,F,"English, Kataf",6,2018,"Hausa, Kataf",English,"English, Hausa",English,At home,1,1,1,0,1,
0731,26-01-2023,F,"Yoruba, English",6,2019,Yoruba ansd English,English,English,English,Playgroup,1,1,1,1,1,
0732,26-01-2023,F,"English, Igala",6,2018,English,English,English,English,At home,1,1,1,1,1,
0733,26-01-2023,F,"Yoruba, English",6,2018,English,English,English,English,At home,1,1,1,1,1,
0734,26-01-2023,M,"English,Hausa, Adara",4,2019,English,English,English,English,Pre-primary,1,1,1,1,1,
0735,26-01-2023,M,"English, Gbagyi",5,2018,"English, Gbagyi","Gbagyi, Hausa",Gbagyi,English,Pre-primary,1,0,1,1,1,
0736,26-01-2023,F,"English, Gbagyi",5,2018,"English, Gbagyi","English, Gbagyi","Enlish, Gbagyi",English,Pre-primary,1,1,1,1,1,
0737,26-01-2023,F,"English,Hausa, Atarkar",5,2018,"English, Atarkar",English,"English, Hausa",English,Pre-primary,1,1,1,1,1,
0738,26-01-2023,M,"English,Hausa,Fulfude",4,2019,Fulfude,Hausa,Hausa,English,Primary School,1,1,1,1,1,
0739,26-01-20023,F,"English,Hausa, Atarkar",4,2019,"English, Atarkar","Emglish, Hausa","English, Hausa",English,Pre-primary,1,1,1,1,1,
0740,26-01-2023,M,English,1,2022,English,English,English,English,Primary School,1,1,1,1,1,
0741,26-01-2023,F,"English,Hausa, Atarkar",1,2022,"Hausa, Atarkar",Atarkar,"English, Hausa",English,Playgroup,1,1,1,1,1,
0742,26-01-2023,M,Tiv,1,2022,English,Tiv,English,English,Playgroup,1,,1,1,1,
0743,26-01-2023,M,"English, Gbagyi",1,2022,Gbagyi,Gbagyi,English,English,Playgroup,1,1,1,1,1,
0744,26-01-2023,M,Gbagyi,1,2022,Gbagyi,Gbagyi,Gbagyi,English,Pre-primary,,1,1,1,1,
0745,26-01-2023,M,Gbagyi,1,2022,Gbagyi,Gbagyi,Gbagyi,English,Pre-primary,1,1,1,1,1,
0746,26-01-2023,M,"English, Bassa",1,2022,Bassa,Bassa,"English,Pidgin English, Bassa",English,Pre-primary,1,1,1,1,1,
0747,26-01-2023,F,"English, Gbagyi",5,2018,Gbagyi,"Gbagyi, Hausa",Pidgin English,English,Pre-primary,1,1,1,1,1,
0748,26-01-2023,M,"English, Gbagyi",5,2018,Gbagyi,Pidgin English,Pidgin English,English,Pre-primary,1,1,1,1,1,
0749,26-01-2023,F,"English, Gbagyi",5,2018,Gbagyi,"English, Gbagyi",English,English,Pre-primary,1,1,1,1,1,
0750,26-01-2023,F,"English, Gbagyi",5,2018,Gbagyi,"Gbagyi, Hausa",English,English,Pre-primary,1,1,1,1,1,
0751,26-01-2023,F,Gbagyi,2,2019,Gbagyi,"English, Gbagyi","English, Gbagyi",English,Primary School,1,1,1,1,1,
0752,26-01-2023,M,Gbagyi,2,2019,Gbagyi,"English, Gbagyi",Gbagyi,English,Pre-primary,1,1,1,1,1,
0753,26-01-2023,F,Gbagyi,4,2019,"Pidgin English, Gbagyi","English, Gbagyi",English,English,Primary School,1,1,1,1,1,
0754,26-01-2023,M,Gbagyi,2,2019,English,English,English,English,Pre-primary,1,1,1,1,1,
0755,26-01-2023,F,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,English,English,Pre-primary,1,1,1,1,1,
0756,26-01-2023,F,"English, Igala",3,2020,Igala,English,English,English,Pre-primary,1,1,1,1,1,
0757,26-01-2023,M,"English, Gbagyi",3,2020,Gbagyi,Gbagyi,Gbagyi,English,Pre-primary,1,1,1,1,1,
0758,26-01-2023,M,"English, Gbagyi",3,2020,Gbagyi,Gbagyi.,Gbagyi,English,Pre-primary,1,1,1,1,1,
0759,26-01-2023,M,"English, Gade",3,2020,Gade.,"English, Gade",English,English,Pre-primary,1,1,1,1,1,
0760,26-01-2023,F,"English, Margi",3,2020,Hausa,Hausa,English,English,Pre-primary,1,1,1,1,1,
258,23-01-2023,M,English,3,2019,"English, Gbagyi","English, Gbagyi","English, Gbagyi",English,Primary School,1,1,1,1,1,
375,20/02/2023,F,Katab,4,2019,Katab,Katab,English,English,Pre-Primary,1,1,0,1,1,
,16/03/2023,M,"English, Gade",3,2020,Gade,Gade,Gade,English,Pre- primary,1,1,1,1,1,
,16/03/2023,M,"English, Tiv",3,2020,Tiv,English,English,English,Pre- primary,1,1,1,1,1,
,16/03/2023,F,"English, Tiv",4,2019,Tiv,Tiv,Tiv,English,At home,1,1,1,0,1,
,20/02/2023,M,"Hausa, English",6,2017,Hausa,Hausa,"Hausa, English",English,Primary School,1,1,1,1,1,
,26-01-2023,F,English,5,2020,English,English,English,English,At home,1,1,1,1,1,
,26-01-2023,F,Tiv,4,2016,"English, Pidgin English","English, Pidgin English","English, Pidgin English",English,Primary School,1,1,1,1,1,
,26-01-2023,F,Tiv,6,,"English, Pidgin English","English, Pidgin English","English, Pidgin English",English,Primary School,1,1,1,1,1,
,26-01-2023,M,Gbagyi,3,2020,"English,Gbagyi,Pidgin, Hausa",,Pidgin English,English,Playgroup,0,,0,0,0,
,26-01-2023,F,Yoruba.,3,,"English,Pidgin English, Hausa",Ebglish,English,English,Playgroup,0,1,0,1,0,
,2023-07-02,M,Gbagyi,3,2020,English,English,English,English,Primary School,1,1,1,0,1,
,2023-07-02,F,"Yoruba, English",3,2020,"English, Yoruba","English, Yoruba",English,English,At home,1,1,1,1,1,
